date,price
25.07.2016,612.0
22.07.2016,609.0
21.07.2016,604.5
20.07.2016,595.0
19.07.2016,600.0
18.07.2016,595.0
15.07.2016,599.0
14.07.2016,595.0
13.07.2016,612.0
12.07.2016,608.5
11.07.2016,620.0
08.07.2016,615.5
07.07.2016,618.0
06.07.2016,629.0
05.07.2016,619.0
04.07.2016,613.5
01.07.2016,609.0
30.06.2016,600.0
29.06.2016,601.5
28.06.2016,604.5
27.06.2016,616.0
24.06.2016,608.0
23.06.2016,582.0
22.06.2016,584.5
21.06.2016,582.0
20.06.2016,588.0
17.06.2016,597.5
16.06.2016,615.0
15.06.2016,601.0
14.06.2016,606.0
10.06.2016,589.0
09.06.2016,581.5
08.06.2016,574.5
07.06.2016,576.0
06.06.2016,580.0
03.06.2016,583.5
02.06.2016,585.5
01.06.2016,578.5
31.05.2016,573.0
30.05.2016,568.0
27.05.2016,574.0
26.05.2016,571.0
25.05.2016,574.5
24.05.2016,585.5
23.05.2016,597.0
20.05.2016,596.5
19.05.2016,601.0
18.05.2016,594.0
17.05.2016,591.5
16.05.2016,592.5
13.05.2016,592.0
12.05.2016,593.0
11.05.2016,591.5
10.05.2016,595.5
06.05.2016,604.0
05.05.2016,598.0
04.05.2016,607.5
29.04.2016,599.0
28.04.2016,581.5
27.04.2016,586.5
26.04.2016,585.0
25.04.2016,587.0
22.04.2016,587.0
21.04.2016,591.5
20.04.2016,586.0
19.04.2016,589.0
18.04.2016,583.0
15.04.2016,585.5
14.04.2016,580.0
13.04.2016,587.0
12.04.2016,589.5
11.04.2016,597.0
08.04.2016,595.5
07.04.2016,602.5
06.04.2016,595.0
05.04.2016,607.0
04.04.2016,594.0
01.04.2016,588.0
31.03.2016,593.0
30.03.2016,592.5
29.03.2016,605.5
28.03.2016,596.5
25.03.2016,596.5
24.03.2016,604.5
23.03.2016,593.0
22.03.2016,601.5
21.03.2016,603.5
18.03.2016,609.5
17.03.2016,616.0
16.03.2016,620.5
15.03.2016,625.5
14.03.2016,630.0
11.03.2016,630.0
10.03.2016,646.5
09.03.2016,637.0
07.03.2016,651.0
04.03.2016,659.5
03.03.2016,659.0
02.03.2016,659.0
01.03.2016,650.0
29.02.2016,664.5
26.02.2016,662.0
25.02.2016,674.5
24.02.2016,683.5
22.02.2016,653.0
20.02.2016,675.0
19.02.2016,684.0
18.02.2016,656.0
17.02.2016,654.0
16.02.2016,676.0
15.02.2016,666.0
12.02.2016,696.5
11.02.2016,717.0
10.02.2016,666.0
09.02.2016,667.0
08.02.2016,669.0
05.02.2016,636.0
04.02.2016,630.0
03.02.2016,645.0
02.02.2016,638.5
01.02.2016,618.5
29.01.2016,604.5
28.01.2016,616.0
27.01.2016,624.5
26.01.2016,632.0
25.01.2016,626.5
22.01.2016,619.0
21.01.2016,656.5
20.01.2016,644.0
19.01.2016,613.5
18.01.2016,621.0
15.01.2016,606.5
14.01.2016,595.5
13.01.2016,598.5
12.01.2016,598.5
11.01.2016,598.5
06.01.2016,582.0
05.01.2016,566.0
04.01.2016,564.5
30.12.2015,559.0
29.12.2015,555.5
28.12.2015,555.0
25.12.2015,543.0
24.12.2015,544.0
23.12.2015,541.0
22.12.2015,552.0
21.12.2015,551.0
18.12.2015,544.0
17.12.2015,538.5
16.12.2015,542.5
15.12.2015,536.0
14.12.2015,544.5
11.12.2015,543.0
